ene-25;
15,05;1,62
1,70;0,64
3,98;-0,15
33,12;0,39
4,19;0,70
1,71;1,04
12,93;1,71
4,33;-0,19
3,79;-0,18
4,41;0,00
9,43;1,90
5,36;0,54
feb-25;
15,05;0,60
1,70;0,97
3,98;0,54
33,12;1,16
4,19;0,65
1,71;0,54
12,93;1,57
4,33;-0,02
3,79;0,93
4,41;5,57
9,43;0,82
5,36;0,81
mar-25;
15,05;0,86
1,70;0,57
3,98;0,18
33,12;0,56
4,19;0,42
1,71;1,01
12,93;0,41
4,33;-0,20
3,79;0,19
4,41;0,08
9,43;0,57
5,36;0,34
